Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
NEWU11;Lajes Corporativas;47.34;123.0;0;0,00%;0,00%;0.56%;16.63%;0,00%;0.09%;1.39%;0.61%;-4.04%;-4.04%;-31.62%;51.428.208,46;69.31;68.0;0,00%;-22.29%;-22.29%;-22.25%;42.3%;;3
VGIP11;Outros;98.31;1790.0;0.7;0.7%;2.12%;0,00%;0,00%;0.71%;0,00%;0,00%;3.31%;0.1%;0.81%;17.83%;71.410.131,20;95.72;103.0;0.69%;0.05%;0.74%;-1.81%;;;0
MCCI11;Títulos e Val. Mob.;101.46;21728.0;0.6;0.6%;1.76%;3.85%;0,00%;0.59%;0.64%;0,00%;4.44%;1.42%;2.02%;1.27%;711.889.539,76;98.37;103.0;0.56%;-0.16%;0.4%;2.59%;;;0
VGIR11;Títulos e Val. Mob.;81.71;7091.0;0.45;0.54%;1.61%;3.43%;7.11%;0.54%;0.57%;0.59%;4,00%;-2.35%;-1.82%;-18.97%;436.572.564,64;96.88;84.0;0.5%;-0.04%;0.46%;3.08%;;;0
MGHT11;Hotel;98;56.0;0.6;0.6%;2.01%;0,00%;0,00%;0.67%;0,00%;0,00%;2.01%;-4.75%;-4.18%;2.02%;84.366.645,12;101.26;97.0;1.11%;0.9%;2.03%;3.09%;;;0
CPTS11;Títulos e Val. Mob.;95.53;32102.0;0.72;0.75%;2.08%;4.13%;7.9%;0.69%;0.69%;0.66%;4.74%;-7.43%;-6.74%;-6.34%;750.855.384,05;94.96;101.0;0.76%;1.07%;1.84%;-0.76%;;;0
XPIN11;Outros;115.03;8251.0;0.62;0.54%;1.57%;3.34%;6.57%;0.52%;0.56%;0.55%;3.89%;-0.86%;-0.33%;-7.79%;719.856.926,54;109.29;105.0;0.57%;0,00%;0.57%;0.1%;8.7%;;5
TRNT11;Lajes Corporativas;183.5;156.0;0.37;0.21%;0.81%;1.44%;3.54%;0.27%;0.24%;0.3%;1.75%;-7.55%;-7.36%;-24.74%;872.802.912,62;221.77;83.0;0.26%;-0.08%;0.18%;1.51%;11.7%;;1
MORE11;Títulos e Val. Mob.;105.75;447.0;0.83;0.79%;1.67%;0,00%;0,00%;0.56%;0,00%;0,00%;1.67%;0.96%;1.75%;5.17%;60.500.486,04;103.62;102.0;0.58%;5.59%;6.2%;5.54%;;;0
HCRI11;Hospital;421.15;90.0;2.55;0.59%;1.89%;3.82%;7.53%;0.63%;0.64%;0.63%;4.44%;2.86%;3.47%;5.51%;58.385.499,91;291.93;144.0;0.87%;-0.01%;0.87%;6.54%;0,00%;;1
