Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
NVHO11;Hospital;13.4;516.0;0.06;0.44%;1.38%;2.9%;5.54%;0.46%;0.48%;0.46%;3.84%;2.58%;3.03%;6.58%;325.368.195,29;7.84;171.0;0.78%;0.03%;0.8%;13.77%;;;1
HUSC11;Outros;148.2;51.0;0.73;0.47%;1.41%;1.69%;2.52%;0.47%;0.28%;0.21%;1.41%;6.21%;6.71%;15.61%;72.205.444,77;99.48;149.0;0.73%;-0.01%;0.72%;3.69%;;;0
AFCR11;Híbrido;113;2.0;0.8;0.76%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1.32%;-2.78%;-2.04%;6.39%;68.179.626,11;101.95;111.0;0.59%;0.81%;1.41%;1.41%;;;0
KFOF11;Títulos e Val. Mob.;110.2;5785.0;0.46;0.41%;1.63%;3.01%;5.55%;0.54%;0.5%;0.46%;3.86%;-0.55%;-0.14%;-8.79%;435.523.882,79;107.63;102.0;0.43%;-2.4%;-1.98%;-12.7%;;;0
KNHY11;Títulos e Val. Mob.;108.71;7481.0;0.65;0.6%;1.3%;2.7%;6.41%;0.43%;0.45%;0.53%;4.32%;-0.09%;0.5%;-3.62%;1.155.193.614,63;108.05;101.0;0.42%;-1.9%;-1.5%;1.02%;;;0
KNIP11;Títulos e Val. Mob.;110.84;19125.0;0.75;0.67%;1.76%;3.38%;6.9%;0.59%;0.56%;0.58%;4.79%;1.83%;2.51%;-0.02%;3.599.146.702,04;109.08;102.0;0.64%;-2.29%;-1.67%;-0.41%;;;0
HBRH11;Híbrido;98;4668.0;0.7;0.7%;2.04%;4.09%;0,00%;0.68%;0.68%;0,00%;5.16%;-1.01%;-0.31%;4.22%;221.021.027,70;98.42;100.0;0.68%;0,00%;0.68%;2.32%;;;3
RBRD11;Híbrido;74.98;3508.0;0.04;0.06%;15.37%;18.46%;23.79%;5.12%;3.08%;1.98%;19.18%;-12.5%;-12.45%;-19.02%;150.023.338,76;81.02;93.0;0.05%;0.02%;0.06%;25.93%;0,00%;;4
VOTS11;Títulos e Val. Mob.;84.97;26.0;0.31;0.38%;1.16%;2.46%;5.47%;0.39%;0.41%;0.46%;3.35%;2.5%;2.89%;-11.68%;80.705.595,94;97.48;87.0;0.32%;0.02%;0.34%;2.59%;;;0
RNDP11;Títulos e Val. Mob.;915;39.0;3.12;0.34%;1.02%;2.28%;5.03%;0.34%;0.38%;0.42%;3.01%;0.2%;0.55%;-5.61%;116.301.658,24;1082.07;85.0;0.29%;-0.28%;0.01%;2,00%;;;0
MALL11;Shoppings;92.2;19628.0;0.3;0.33%;0.66%;1.43%;4.1%;0.22%;0.24%;0.34%;2.55%;7.56%;7.92%;-20.13%;800.024.334,75;105.82;87.0;0.14%;0.05%;0.19%;2.19%;3,00%;;7
PORD11;Títulos e Val. Mob.;99.9;1017.0;0.66;0.66%;2.48%;4.49%;12.51%;0.83%;0.75%;1.04%;5.87%;1.36%;2.03%;-0.52%;198.796.931,56;100.77;99.0;0.72%;-0.29%;0.43%;1.16%;;;0
SDIL11;Logística;101.3;14582.0;0.55;0.54%;1.42%;2.82%;5.6%;0.47%;0.47%;0.47%;3.73%;-2.43%;-1.91%;-10.53%;455.352.656,23;95.46;106.0;0.52%;-0.02%;0.5%;3.71%;4.1%;;3
RBVA11;Outros;117.37;10590.0;0.85;0.73%;1.96%;3.96%;7.97%;0.65%;0.66%;0.66%;5.17%;-8.17%;-7.5%;-18.46%;1.234.660.885,00;115.45;102.0;0.74%;-0.01%;0.73%;-3.75%;0.9%;;72
LASC11;Shoppings;98.88;600.0;0.2;0.2%;0.55%;0,00%;0,00%;0.18%;0,00%;0,00%;0.7%;12.59%;12.82%;-0.22%;244.882.054,99;97.25;102.0;0.15%;-0.06%;0.09%;0.69%;5.4%;;3
SPTW11;Lajes Corporativas;82.4;2569.0;0.75;0.9%;2.97%;5.25%;10.32%;0.99%;0.88%;0.86%;6.96%;13.16%;14.18%;1.63%;136.734.306,68;76.05;108.0;0.99%;-0.78%;0.2%;3.47%;0,00%;;1
XPCM11;Lajes Corporativas;55.93;16559.0;0.97;1.67%;4.64%;9.39%;16.91%;1.55%;1.57%;1.41%;12.09%;-2.73%;-1.11%;1.64%;148.836.364,81;61.64;91.0;1.57%;0.59%;2.17%;10.01%;0,00%;;1
MXRF11;Híbrido;10.56;454532.0;0.07;0.66%;1.93%;4.06%;8.85%;0.64%;0.68%;0.74%;5.55%;-2.56%;-1.92%;-3.46%;1.259.445.280,76;10.24;103.0;0.68%;-0.07%;0.61%;5.39%;;;0
GTWR11;Lajes Corporativas;112.18;13862.0;0.69;0.61%;1.76%;3.62%;7.24%;0.59%;0.6%;0.6%;4.8%;-0.53%;0.08%;1.55%;1.176.198.292,27;98.02;114.0;0.66%;-0.05%;0.61%;4.73%;0,00%;0,00%;1
HLOG11;Logística;120;1617.0;0.63;0.53%;1.53%;3.11%;0,00%;0.51%;0.52%;0,00%;3.69%;-3.89%;-3.39%;13.17%;173.562.272,48;111.98;107.0;0.56%;0.35%;0.92%;3.82%;8.22%;7.58%;2
HFOF11;Títulos e Val. Mob.;112.7;29044.0;0.5;0.44%;1.81%;4.1%;8.3%;0.6%;0.68%;0.69%;5.24%;-2.83%;-2.4%;-3.42%;1.668.275.587,95;98.97;114.0;0.51%;-3.43%;-2.94%;-4.55%;;;0
TGAR11;Outros;133.93;14022.0;1.09;0.81%;2.61%;5.2%;9.11%;0.87%;0.87%;0.76%;6.13%;4.41%;5.26%;2.66%;440.934.365,48;127.23;105.0;0.9%;-0.46%;0.44%;0.18%;;;0
HMOC11;Shoppings;219.75;312.0;0.25;0.11%;0.16%;0.56%;3.54%;0.05%;0.09%;0.29%;1.56%;11.23%;11.36%;-11.3%;80.840.298,58;211.61;104.0;0.05%;0.1%;0.14%;0.68%;4.5%;;1
RBFF11;Títulos e Val. Mob.;72.28;5086.0;0.55;0.77%;2.12%;3.45%;9.93%;0.71%;0.57%;0.83%;5.01%;5.91%;6.72%;-19.79%;211.174.450,72;77.14;94.0;0.67%;-2.25%;-1.59%;-24.45%;;;0
XPPR11;Outros;86.24;18632.0;0.72;0.77%;2.52%;4.8%;0,00%;0.84%;0.8%;0,00%;5.79%;5.04%;5.85%;-8.41%;423.218.310,44;97.97;88.0;0.71%;-0.1%;0.62%;6.8%;9,00%;;4
BRCO11;Logística;124.2;5147.0;0.55;0.44%;1.32%;2.78%;0,00%;0.44%;0.46%;0,00%;3.64%;-0.14%;0.3%;-0.29%;1.205.780.059,09;95.95;129.0;0.57%;-0.01%;0.56%;4.16%;0.8%;;10
HBTT11;Títulos e Val. Mob.;1.038,00;69.0;9;0.86%;2.64%;5,00%;8.91%;0.88%;0.83%;0.74%;6.62%;-16.55%;-15.83%;-39.29%;168.557.829,34;935.32;111.0;1.39%;-0.27%;1.11%;-11.45%;;;0
VTLT11;Logística;114.5;3283.0;0.72;0.63%;1.27%;3.32%;7.1%;0.42%;0.55%;0.59%;4.56%;0.92%;1.56%;1.96%;215.162.681,66;101.73;113.0;0.71%;0.77%;1.49%;5.31%;0,00%;0,00%;1
HGFF11;Títulos e Val. Mob.;99.5;4934.0;0.55;0.55%;1.66%;3.41%;6.56%;0.55%;0.57%;0.55%;4.49%;2.76%;3.33%;-7.14%;179.325.081,16;99.63;100.0;0.55%;-2.03%;-1.49%;-6.47%;;;0
CBOP11;Lajes Corporativas;78;626.0;0.49;0.63%;1.78%;3.43%;6.79%;0.59%;0.57%;0.57%;4.48%;7.51%;8.2%;-15.51%;121.594.037,15;85.93;91.0;0.57%;0.05%;0.62%;4.17%;10.37%;10.87%;1
HGLG11;Logística;173.4;166688.0;0.78;0.43%;1.27%;2.65%;5.29%;0.42%;0.44%;0.44%;3.49%;1.11%;1.54%;-1.59%;1.602.350.160,37;134.85;129.0;0.58%;-0.43%;0.15%;2.72%;10.5%;13.1%;12
HGCR11;Títulos e Val. Mob.;104.8;27669.0;0.48;0.46%;1.38%;3.15%;6.35%;0.46%;0.53%;0.53%;4.19%;3.81%;4.29%;-7.4%;1.308.825.985,51;105.79;99.0;0.45%;0.36%;0.81%;3.5%;;;0
GRLV11;Logística;132.95;249.0;0.71;0.54%;1.67%;3.36%;6.46%;0.56%;0.56%;0.54%;4.35%;-0.9%;-0.37%;5.79%;141.504.874,00;131.81;101.0;0.54%;0.03%;0.57%;3.9%;3.7%;3.4%;1
LGCP11;Logística;99.95;406.0;0.52;0.52%;1.41%;2.79%;0,00%;0.47%;0.46%;0,00%;3.37%;0.92%;1.44%;-1.7%;169.475.988,13;96.14;104.0;0.46%;-0.02%;0.43%;3.41%;3.14%;;3
LUGG11;Residencial;107;174.0;0.47;0.44%;1.34%;2.73%;0,00%;0.45%;0.46%;0,00%;3.25%;0.07%;0.51%;2.82%;98.201.549,86;109.11;98.0;0.41%;0,00%;0.41%;17.67%;14,00%;;4
BCIA11;Títulos e Val. Mob.;128.9;30546.0;0.75;0.55%;1.49%;2.85%;8.3%;0.5%;0.48%;0.69%;3.89%;-0.47%;0.07%;-35.48%;194.703.133,51;115.24;112.0;0.65%;-3.61%;-2.99%;-12.8%;;;0
MFAI11;Híbrido;122;544.0;1.11;0.9%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3.95%;8.14%;9.11%;12.44%;2.660.024,83;95;128.0;3.68%;-16.2%;-13.11%;-0.85%;;;0
BCRI11;Títulos e Val. Mob.;109.31;10402.0;0.73;0.67%;2.16%;4.16%;8.13%;0.72%;0.69%;0.68%;6.01%;0.09%;0.76%;-5.65%;314.734.834,89;105.62;103.0;0.72%;-0.43%;0.29%;5.17%;;;0
EDFO11B;Lajes Corporativas;264.49;201.0;1.35;0.51%;1.64%;3.5%;6.7%;0.55%;0.58%;0.56%;4.57%;-0.75%;-0.24%;1.92%;47.883.814,25;202.9;130.0;0.67%;0,00%;0.67%;5.15%;6.96%;;1
BNFS11;Outros;125;919.0;0.94;0.74%;2.22%;4.62%;8.76%;0.74%;0.77%;0.73%;5.92%;-0.55%;0.19%;1.67%;67.125.796,22;95.89;130.0;1.01%;0.03%;1.05%;7.28%;;;18
TRXF11;Outros;102.11;46919.0;0.34;0.33%;1.62%;3.73%;0,00%;0.54%;0.62%;0,00%;4.89%;-3.18%;-2.85%;-8.13%;417.160.128,28;97.25;105.0;0.68%;-1.08%;-0.41%;1.73%;0,00%;;32
RBIV11;Títulos e Val. Mob.;79.31;1655.0;0.48;0.58%;1.7%;3.08%;0,00%;0.57%;0.51%;0,00%;3.58%;3.4%;4,00%;-14.52%;99.666.761,33;97.3;82.0;0.5%;-0.23%;0.28%;-0.39%;;;0
FIIP11B;Logística;188.15;597.0;0.79;0.41%;6.12%;7.89%;11.91%;2.04%;1.32%;0.99%;9.94%;-2.99%;-2.59%;1.61%;183.549.267,97;197.97;95.0;0.29%;0.4%;0.69%;11.19%;0,00%;;7
NVIF11B;Outros;;;0.3;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;63.754.281,92;188.96;;0.47%;-1.08%;-0.61%;4.68%;;;0
CXTL11;Logística;330;161.0;1.39;0.42%;0.94%;1.42%;3.04%;0.31%;0.24%;0.25%;1.42%;6.8%;7.24%;-36.11%;41.127.767,85;767.35;43.0;0.12%;0.08%;0.2%;0.5%;;;4
FAMB11B;Lajes Corporativas;3141.07;51.0;26.13;0.82%;2.52%;5.58%;10.97%;0.84%;0.93%;0.91%;7.47%;-0.17%;0.64%;-0.29%;370.586.105,98;3536.13;89.0;0.73%;0.54%;1.27%;9.16%;0,00%;;1
CRFF11;Títulos e Val. Mob.;80.59;1077.0;0.42;0.52%;1.59%;2.79%;6.3%;0.53%;0.47%;0.53%;4.06%;-4.06%;-3.56%;-26.06%;63.063.159,97;91.39;88.0;0.46%;-1.53%;-1.08%;-11.97%;;;0
CXRI11;Híbrido;1.520,00;40.0;7;0.46%;2.23%;4.43%;10.96%;0.74%;0.74%;0.91%;5.5%;-10.75%;-10.33%;-7.62%;153.845.967,38;976.33;156.0;0.72%;-3.16%;-2.46%;-10.12%;;;0
GGRC11;Logística;144.28;14047.0;0.68;0.47%;1.4%;3.12%;6.26%;0.47%;0.52%;0.52%;4.41%;5.9%;6.4%;8.84%;810.558.301,98;124.64;116.0;0.51%;-0.17%;0.35%;9.61%;0,00%;0,00%;15
RBBV11;Títulos e Val. Mob.;91.98;1110.0;0.27;0.29%;0.29%;1.17%;3.99%;0.1%;0.2%;0.33%;2.53%;0,00%;0.29%;-2.05%;125.308.277,56;99.91;92.0;0,00%;-0.01%;-0.01%;0.9%;;;1
